Record_ID,Date,Actual_Quantity,Counted_Quantity,Count_Accurate,Error_Type,Error_Amount,Error_Percentage,Count_Time_Seconds,Staff_ID,Staff_Experience_Years,Staff_Training,Staff_Role,Product_Type,Product_Subtype,Packaging,Location,Time_of_Day,Day_of_Week,End_of_Month,Scanner_Battery,Scanner_Model,Scanner_Calibrated,ERP_Status,WiFi_Strength,Count_Method,Inventory_Review_Type,Location_Type,Product_ID,Special_Cause
REC0197,2023-10-18,1392,1392,True,None,0,0.0,771.0,7,4,Intermediate,Pharmacy Staff,Miscellaneous,Baby Care,Box,Shop Floor - Zone C,Evening,Thursday,False,High,Current Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Shop Floor,P0197,None
REC0198,2023-04-27,1476,1226,False,Undercount,250,16.93766937669377,787.0,12,4,Intermediate,Warehouse Team,Drug,Controlled,Box,Shop Floor - Zone A,Morning,Friday,True,High,New Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Shop Floor,P0198,None
REC0199,2023-06-19,41,41,True,None,0,0.0,22.0,1,4,Basic,Pharmacy Staff,Miscellaneous,Hygiene,Tube,Shop Floor - Zone A,Morning,Wednesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor,P0199,None
REC0200,2023-11-01,168,177,False,Overcount,9,5.357142857142857,202.0,17,2,Basic,Pharmacy Staff,Drug,Controlled,Blister Pack,Warehouse - Shop Building Ground Floor,Morning,Thursday,False,High,Current Model,False,Normal,Normal,Manual Count,Regular Stock Check,Warehouse,P0200,None
REC0201,2023-01-22,28,28,True,None,0,0.0,19.0,10,6,Advanced,Warehouse Team,Miscellaneous,Hygiene,Individual,Warehouse - Shop Building Ground Floor,Morning,Wednesday,False,Medium,Old Model,False,Normal,Normal,Manual Count,Quarterly Stock-take,Warehouse,P0201,None
REC0202,2023-09-30,1848,1848,True,None,0,0.0,1084.0,11,15,Advanced,Pharmacy Staff,Miscellaneous,Baby Care,Box,Shop Floor - Zone A,Evening,Friday,True,Medium,Current Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0202,None
REC0203,2023-04-13,43,43,True,None,0,0.0,16.0,10,6,Advanced,Warehouse Team,Medical Device,Therapeutic,Individual,Warehouse - Main Building 3rd Floor,Evening,Saturday,False,High,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0203,None
REC0204,2023-01-24,1064,1064,True,None,0,0.0,700.0,17,2,Basic,Pharmacy Staff,Drug,OTC,Blister Pack,Warehouse - Shop Building Ground Floor,Afternoon,Saturday,False,High,Current Model,True,Slow,Normal,Scanner Count,Regular Stock Check,Warehouse,P0204,None
REC0205,2023-12-15,690,690,True,None,0,0.0,309.391020205434,20,15,Advanced,Team Leader,Drug,Controlled,Blister Pack,Warehouse - Shop Building Ground Floor,Afternoon,Saturday,False,Medium,Current Model,True,Slow,Normal,Manual Count,Regular Stock Check,Warehouse,P0205,Holiday Rush
REC0206,2023-06-16,1110,1144,False,Overcount,34,3.063063063063063,924.0,19,6,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Storage Room - Drugs,Afternoon,Tuesday,False,High,Current Model,False,Normal,Normal,Manual Count,Regular Stock Check,Storage,SP001,Similar Packaging Confusion
REC0207,2023-04-27,198,218,False,Overcount,20,10.1010101010101,98.0,12,4,Intermediate,Warehouse Team,Drug,OTC,Tube,Shop Floor - Zone B,Morning,Saturday,True,High,Current Model,False,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0207,None
REC0208,2023-01-15,135,135,True,None,0,0.0,156.0,1,4,Basic,Pharmacy Staff,Drug,Prescription,Tube,Shop Floor - Zone B,Morning,Saturday,False,High,Current Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0208,None
REC0209,2023-05-01,345,345,True,None,0,0.0,232.0,3,3,Intermediate,Warehouse Team,Medical Device,Diagnostic,Box,Warehouse - Main Building 3rd Floor,Morning,Monday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0209,None
REC0210,2023-07-02,1683,1683,True,None,0,0.0,715.0,2,4,Intermediate,Pharmacy Staff,Drug,Prescription,Blister Pack,Storage Room - Drugs,Morning,Wednesday,False,High,Old Model,False,Normal,Weak,Scanner Count,Quarterly Stock-take,Storage,P0210,None
REC0211,2023-09-05,533,533,True,None,0,0.0,404.0,4,10,Basic,Warehouse Team,Medical Device,Diagnostic,Box,Shop Floor - Zone A,Afternoon,Thursday,False,High,Current Model,True,Slow,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0211,None
REC0212,2023-03-30,432,432,True,None,0,0.0,391.0,13,3,Basic,Pharmacy Staff,Medical Device,Diagnostic,Box,Shop Floor - Zone A,Evening,Monday,True,High,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Shop Floor,P0212,None
REC0213,2023-10-28,770,933,False,Overcount,163,21.16883116883117,506.0,12,4,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Shop Floor - Zone A,Morning,Thursday,True,High,Current Model,True,Slow,Strong,Scanner Count,Quarterly Stock-take,Shop Floor,SP005,Similar Packaging Confusion
REC0214,2023-10-09,260,260,True,None,0,0.0,161.0,16,7,Intermediate,Pharmacy Staff,Medical Device,Surgical,Box,Storage Room - Medical Devices,Morning,Friday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage,P0214,None
REC0215,2023-05-13,540,540,True,None,0,0.0,186.0,20,15,Advanced,Team Leader,Medical Device,Diagnostic,Box,Shop Floor - Zone A,Afternoon,Wednesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0215,None
REC0216,2023-07-06,4085,3516,False,Undercount,569,13.929008567931456,4143.0,6,10,Advanced,Pharmacy Staff,Miscellaneous,First Aid,Box,Warehouse - Shop Building Ground Floor,Morning,Sunday,False,High,Current Model,True,Slow,Normal,Manual Count,Regular Stock Check,Warehouse,P0216,None
REC0217,2023-07-14,22,22,True,None,0,0.0,10.0,16,7,Intermediate,Pharmacy Staff,Miscellaneous,Hygiene,Tube,Warehouse - Shop Building Ground Floor,Morning,Tuesday,False,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0217,None
REC0218,2023-09-29,19,19,True,None,0,0.0,10.0,11,15,Advanced,Pharmacy Staff,Medical Device,Monitoring,Individual,Warehouse - Main Building 3rd Floor,Afternoon,Saturday,True,High,Current Model,False,Slow,Weak,Scanner Count,Quarterly Stock-take,Warehouse,P0218,None
REC0219,2023-09-11,10,12,False,Overcount,2,20.0,10.0,5,8,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Storage Room - Medical Devices,Morning,Monday,False,High,Current Model,True,Slow,Weak,Scanner Count,Regular Stock Check,Storage,SP001,Similar Packaging Confusion
REC0220,2023-07-27,1826,1826,True,None,0,0.0,703.0,9,7,Intermediate,Warehouse Team,Drug,Controlled,Bottle,Shop Floor - Zone A,Morning,Friday,True,High,Old Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Shop Floor,P0220,None
REC0221,2023-04-25,13,13,True,None,0,0.0,10.0,13,3,Basic,Pharmacy Staff,Drug,Controlled,Tube,Storage Room - Drugs,Morning,Thursday,True,High,Current Model,False,Slow,Normal,Scanner Count,Regular Stock Check,Storage,P0221,None
REC0222,2023-12-10,34,34,True,None,0,0.0,16.0,9,7,Intermediate,Warehouse Team,Medical Device,Therapeutic,Individual,Warehouse - Main Building 3rd Floor,Afternoon,Friday,False,High,Current Model,False,Normal,Normal,Scanner Count,Quarterly Stock-take,Warehouse,P0222,None
REC0223,2023-07-01,800,800,True,None,0,0.0,656.0,3,3,Intermediate,Warehouse Team,Drug,Controlled,Bottle,Shop Floor - Zone B,Evening,Friday,False,High,Current Model,False,Slow,Normal,Combined Method,Regular Stock Check,Shop Floor,P0223,None
REC0224,2023-05-28,3663,3663,True,None,0,0.0,2072.0,9,7,Intermediate,Warehouse Team,Miscellaneous,First Aid,Box,Shop Floor - Zone A,Afternoon,Friday,True,High,Old Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor,P0224,None
REC0225,2023-02-07,25,25,True,None,0,0.0,15.0,14,5,Basic,Pharmacy Staff,Medical Device,Surgical,Individual,Warehouse - Main Building 3rd Floor,Morning,Sunday,False,High,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Warehouse,P0225,None
REC0226,2023-03-31,3335,3335,True,None,0,0.0,1341.0,10,6,Advanced,Warehouse Team,Drug,Prescription,Box,Shop Floor - Zone C,Afternoon,Friday,True,Medium,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0226,None
REC0227,2023-07-31,95,95,True,None,0,0.0,54.0,14,5,Basic,Pharmacy Staff,Miscellaneous,Baby Care,Tube,Shop Floor - Zone C,Morning,Thursday,True,High,New Model,False,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0227,None
REC0228,2023-09-01,106,85,False,Undercount,21,19.81132075471698,52.0,12,4,Intermediate,Warehouse Team,Drug,Controlled,Tube,Shop Floor - Zone C,Morning,Thursday,False,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0228,None
REC0229,2023-03-11,1480,1480,True,None,0,0.0,526.0,20,15,Advanced,Team Leader,Drug,Refrigerated,Bottle,Shop Floor - Zone B,Evening,Wednesday,False,High,Current Model,False,Slow,Strong,Combined Method,Quarterly Stock-take,Shop Floor,P0229,None
REC0230,2023-07-25,240,240,True,None,0,0.0,167.0,10,6,Advanced,Warehouse Team,Drug,Controlled,Blister Pack,Warehouse - Shop Building Ground Floor,Afternoon,Friday,True,High,Old Model,True,Normal,Normal,Manual Count,Ad-hoc Check,Warehouse,P0230,None
REC0231,2023-09-18,3071,2937,False,Undercount,134,4.363399544122435,2157.0,17,2,Basic,Pharmacy Staff,Drug,Prescription,Box,Warehouse - Shop Building Ground Floor,Afternoon,Monday,False,Medium,Current Model,False,Normal,Normal,Scanner Count,Quarterly Stock-take,Warehouse,P0231,None
REC0232,2023-07-10,725,725,True,None,0,0.0,346.0,3,3,Intermediate,Warehouse Team,Drug,Prescription,Blister Pack,Storage Room - Drugs,Evening,Monday,False,Medium,Current Model,True,Normal,Weak,Scanner Count,Ad-hoc Check,Storage,P0232,None
REC0233,2023-07-24,2,2,True,None,0,0.0,10.0,5,8,Intermediate,Warehouse Team,Medical Device,Monitoring,Individual,Warehouse - Main Building 3rd Floor,Afternoon,Tuesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Warehouse,P0233,None
REC0234,2023-07-27,1862,1900,False,Overcount,38,2.0408163265306123,1283.0,5,8,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Storage Room - Medical Devices,Afternoon,Friday,True,High,Old Model,True,Maintenance Mode,Normal,Scanner Count,Regular Stock Check,Storage,SP004,Similar Packaging Confusion
REC0235,2023-12-13,30,30,True,None,0,0.0,19.0,17,2,Basic,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Shop Floor - Zone B,Morning,Tuesday,False,High,New Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0235,None
REC0236,2023-01-16,186,186,True,None,0,0.0,163.0,16,7,Intermediate,Pharmacy Staff,Drug,Controlled,Tube,Shop Floor - Zone A,Morning,Friday,False,High,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor,P0236,None
REC0237,2023-08-02,525,588,False,Overcount,63,12.0,572.0,7,4,Intermediate,Pharmacy Staff,Drug,Prescription,Blister Pack,Shop Floor - Zone B,Afternoon,Thursday,False,Low,Current Model,False,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0237,None
REC0238,2023-05-03,486,486,True,None,0,0.0,197.0,4,10,Basic,Warehouse Team,Drug,Refrigerated,Bottle,Storage Room - Drugs,Evening,Monday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage,P0238,None
REC0239,2023-02-04,78,75,False,Undercount,3,3.8461538461538463,38.94419205129461,101,0,Basic,Pharmacy Staff,Miscellaneous,First Aid,Individual,Shop Floor - Zone C,Afternoon,Friday,False,High,Old Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Shop Floor,P0239,New Employee Training
REC0240,2023-08-04,525,525,True,None,0,0.0,838.0,14,5,Basic,Pharmacy Staff,Miscellaneous,Baby Care,Box,Storage Room - Drugs,Morning,Wednesday,False,High,Current Model,False,Normal,Weak,Manual Count,Regular Stock Check,Storage,P0240,None
REC0241,2023-06-26,450,389,False,Undercount,61,13.555555555555557,828.0,1,4,Basic,Pharmacy Staff,Medical Device,Therapeutic,Box,Storage Room - Medical Devices,Afternoon,Friday,True,High,Current Model,True,Normal,Weak,Manual Count,Quarterly Stock-take,Storage,P0241,None
REC0242,2023-03-17,660,757,False,Overcount,97,14.696969696969697,615.0,15,3,Intermediate,Pharmacy Staff,Drug,Controlled,Blister Pack,Warehouse - Shop Building Ground Floor,Morning,Wednesday,False,High,Current Model,True,Normal,Strong,Manual Count,Quarterly Stock-take,Warehouse,P0242,None
REC0243,2023-11-07,8507,8507,True,None,0,0.0,7396.0,9,7,Intermediate,Warehouse Team,Drug,Refrigerated,Bottle,Shop Floor - Zone B,Morning,Monday,False,High,Old Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor,P0243,None
REC0244,2023-04-28,121,121,True,None,0,0.0,73.0,16,7,Intermediate,Pharmacy Staff,Medical Device,Monitoring,Box,Warehouse - Main Building 3rd Floor,Afternoon,Monday,True,Medium,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0244,None
REC0245,2023-06-13,2204,2204,True,None,0,0.0,1588.0,14,5,Basic,Pharmacy Staff,Miscellaneous,First Aid,Box,Warehouse - Shop Building Ground Floor,Evening,Friday,False,High,Old Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Warehouse,P0245,None
REC0246,2023-10-26,37,37,True,None,0,0.0,19.0,16,7,Intermediate,Pharmacy Staff,Medical Device,Therapeutic,Individual,Warehouse - Main Building 3rd Floor,Afternoon,Monday,True,High,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0246,None
REC0247,2023-05-08,780,639,False,Undercount,141,18.076923076923077,717.0,7,4,Intermediate,Pharmacy Staff,Medical Device,Diagnostic,Box,Storage Room - Medical Devices,Evening,Friday,False,Low,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage,P0247,None
REC0248,2023-12-16,4864,4864,True,None,0,0.0,1936.7167889826753,10,6,Advanced,Warehouse Team,Drug,Controlled,Bottle,Storage Room - Drugs,Morning,Wednesday,False,High,Current Model,True,Normal,Normal,Combined Method,Quarterly Stock-take,Storage,P0248,Holiday Rush
REC0249,2023-01-10,1325,1115,False,Undercount,210,15.849056603773585,2007.0,8,3,Intermediate,Pharmacy Staff,Miscellaneous,Hygiene,Box,Warehouse - Shop Building Ground Floor,Evening,Saturday,False,Medium,Current Model,True,Maintenance Mode,Weak,Manual Count,Ad-hoc Check,Warehouse,P0249,None
REC0250,2023-11-11,72,72,True,None,0,0.0,35.0,16,7,Intermediate,Pharmacy Staff,Medical Device,Surgical,Blister Pack,Shop Floor - Zone B,Morning,Monday,False,High,Current Model,False,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor,P0250,None
REC0251,2023-02-06,1342,1342,True,None,0,0.0,1003.0,7,4,Intermediate,Pharmacy Staff,Miscellaneous,First Aid,Box,Warehouse - Shop Building Ground Floor,Afternoon,Wednesday,False,High,Old Model,True,Slow,Weak,Scanner Count,Quarterly Stock-take,Warehouse,P0251,None
REC0252,2023-07-01,19,19,True,None,0,0.0,10.0,9,7,Intermediate,Warehouse Team,Medical Device,Monitoring,Individual,Shop Floor - Zone B,Afternoon,Sunday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0252,None
REC0253,2023-05-10,280,280,True,None,0,0.0,160.0,15,3,Intermediate,Pharmacy Staff,Drug,Controlled,Box,Shop Floor - Zone A,Afternoon,Friday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0253,None
REC0254,2023-07-01,5,5,True,None,0,0.0,10.0,9,7,Intermediate,Warehouse Team,Medical Device,Diagnostic,Individual,Shop Floor - Zone C,Evening,Monday,False,High,New Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0254,None
REC0255,2023-08-10,1215,1215,True,None,0,0.0,736.0,18,6,Intermediate,Pharmacy Staff,Medical Device,Therapeutic,Box,Shop Floor - Zone A,Afternoon,Friday,False,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0255,None
REC0256,2023-06-17,1507,1507,True,None,0,0.0,581.0,19,6,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Shop Floor - Zone A,Evening,Wednesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0256,None
REC0257,2023-02-23,1340,1340,True,None,0,0.0,640.0,2,4,Intermediate,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Drugs,Morning,Monday,False,High,New Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage,P0257,None
REC0258,2023-08-03,403,403,True,None,0,0.0,428.0,3,3,Intermediate,Warehouse Team,Drug,Controlled,Box,Shop Floor - Zone A,Morning,Friday,False,Medium,Old Model,True,Slow,Strong,Combined Method,Regular Stock Check,Shop Floor,P0258,None
REC0259,2023-03-31,19,20,False,Overcount,1,5.263157894736842,24.0,18,6,Intermediate,Pharmacy Staff,Medical Device,Diagnostic,Individual,Storage Room - Medical Devices,Evening,Monday,True,Medium,Current Model,False,Slow,Weak,Manual Count,Regular Stock Check,Storage,P0259,None
REC0260,2023-03-16,16,16,True,None,0,0.0,19.0,18,6,Intermediate,Pharmacy Staff,Medical Device,Therapeutic,Individual,Storage Room - Medical Devices,Evening,Friday,False,High,Old Model,True,Normal,Weak,Manual Count,Regular Stock Check,Storage,P0260,None
REC0261,2023-10-27,76,76,True,None,0,0.0,37.0,5,8,Intermediate,Warehouse Team,Drug,OTC,Tube,Shop Floor - Zone B,Morning,Friday,True,High,New Model,True,Slow,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0261,None
REC0262,2023-02-16,3876,3876,True,None,0,0.0,4444.0,15,3,Intermediate,Pharmacy Staff,Drug,Controlled,Bottle,Storage Room - Drugs,Morning,Monday,False,Medium,Old Model,True,Slow,Weak,Manual Count,Regular Stock Check,Storage,P0262,None
REC0263,2023-02-18,1737,1689,False,Undercount,48,2.763385146804836,1205.0,10,6,Advanced,Warehouse Team,Drug,Prescription,Blister Pack,Shop Floor - Zone A,Evening,Thursday,False,High,New Model,True,Normal,Normal,Manual Count,Ad-hoc Check,Shop Floor,P0263,None
REC0264,2023-01-08,26,24,False,Undercount,2,7.6923076923076925,36.0,14,5,Basic,Pharmacy Staff,Medical Device,Surgical,Individual,Shop Floor - Zone A,Morning,Sunday,False,Medium,New Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0264,None
REC0265,2023-01-27,9,10,False,Overcount,1,11.11111111111111,10.0,17,2,Basic,Pharmacy Staff,Medical Device,Surgical,Individual,Storage Room - Medical Devices,Evening,Thursday,True,High,Old Model,False,Maintenance Mode,Weak,Scanner Count,Quarterly Stock-take,Storage,P0265,None
REC0266,2023-12-04,220,220,True,None,0,0.0,193.0,6,10,Advanced,Pharmacy Staff,Medical Device,Monitoring,Box,Storage Room - Medical Devices,Afternoon,Saturday,False,Medium,Old Model,True,Normal,Strong,Manual Count,Regular Stock Check,Storage,P0266,None
REC0267,2023-10-30,25,25,True,None,0,0.0,29.0,14,5,Basic,Pharmacy Staff,Miscellaneous,Hygiene,Individual,Shop Floor - Zone C,Afternoon,Thursday,True,High,New Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0267,None
REC0268,2023-12-16,2268,2268,True,None,0,0.0,1104.3390517348676,201,1,Basic,Pharmacy Staff,Drug,Prescription,Bottle,Warehouse - Shop Building Ground Floor,Evening,Friday,False,Low,Old Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0268,Holiday Rush
REC0269,2023-05-19,7998,7998,True,None,0,0.0,10086.0,13,3,Basic,Pharmacy Staff,Drug,Controlled,Box,Warehouse - Shop Building Ground Floor,Evening,Thursday,False,Low,Current Model,True,Normal,Weak,Combined Method,Quarterly Stock-take,Warehouse,P0269,None
REC0270,2023-02-06,1830,1830,True,None,0,0.0,602.0,10,6,Advanced,Warehouse Team,Drug,Prescription,Blister Pack,Storage Room - Drugs,Evening,Friday,False,High,Current Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Storage,P0270,None
REC0271,2023-03-23,105,105,True,None,0,0.0,143.0,19,6,Intermediate,Warehouse Team,Drug,Refrigerated,Box,Storage Room - Drugs,Evening,Monday,False,Medium,Old Model,True,Maintenance Mode,Normal,Manual Count,Regular Stock Check,Storage,P0271,None
REC0272,2023-03-11,160,160,True,None,0,0.0,106.0,1,4,Basic,Pharmacy Staff,Miscellaneous,Hygiene,Box,Warehouse - Shop Building Ground Floor,Evening,Sunday,False,High,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Warehouse,P0272,None
REC0273,2023-08-29,864,864,True,None,0,0.0,342.0,10,6,Advanced,Warehouse Team,Drug,OTC,Blister Pack,Warehouse - Shop Building Ground Floor,Evening,Thursday,True,High,Current Model,True,Slow,Strong,Scanner Count,Regular Stock Check,Warehouse,P0273,None
REC0274,2023-02-19,2610,2610,True,None,0,0.0,1938.0,10,6,Advanced,Warehouse Team,Drug,Refrigerated,Bottle,Shop Floor - Zone C,Afternoon,Saturday,False,High,Old Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0274,None
REC0275,2023-09-18,142,175,False,Overcount,33,23.239436619718308,151.0,1,4,Basic,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Drugs,Evening,Tuesday,False,High,Current Model,False,Normal,Normal,Manual Count,Regular Stock Check,Storage,SP001,Similar Packaging Confusion
REC0276,2023-04-09,120,120,True,None,0,0.0,59.0,5,8,Intermediate,Warehouse Team,Drug,OTC,Tube,Shop Floor - Zone C,Evening,Saturday,False,High,Current Model,True,Slow,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0276,None
REC0277,2023-07-22,616,616,True,None,0,0.0,346.0,7,4,Intermediate,Pharmacy Staff,Drug,Controlled,Box,Storage Room - Drugs,Morning,Monday,False,High,Old Model,False,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage,P0277,None
REC0278,2023-10-07,2,1,False,Undercount,1,50.0,10.0,9,7,Intermediate,Warehouse Team,Medical Device,Diagnostic,Individual,Warehouse - Main Building 3rd Floor,Morning,Monday,False,Low,Current Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Warehouse,P0278,None
REC0279,2023-07-02,175,175,True,None,0,0.0,58.0,10,6,Advanced,Warehouse Team,Drug,OTC,Tube,Warehouse - Shop Building Ground Floor,Evening,Tuesday,False,High,Current Model,False,Normal,Normal,Scanner Count,Ad-hoc Check,Warehouse,P0279,None
REC0280,2023-07-11,38,38,True,None,0,0.0,27.0,17,2,Basic,Pharmacy Staff,Medical Device,Diagnostic,Individual,Warehouse - Main Building 3rd Floor,Evening,Thursday,False,High,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0280,None
REC0281,2023-11-20,170,179,False,Overcount,9,5.294117647058823,78.0,19,6,Intermediate,Warehouse Team,Drug,Refrigerated,Blister Pack,Warehouse - Shop Building Ground Floor,Evening,Saturday,False,High,Current Model,False,Normal,Weak,Scanner Count,Regular Stock Check,Warehouse,P0281,None
REC0282,2023-01-20,1584,1584,True,None,0,0.0,1346.0,3,3,Intermediate,Warehouse Team,Medical Device,Monitoring,Box,Warehouse - Main Building 3rd Floor,Afternoon,Saturday,False,High,Current Model,False,Slow,Normal,Scanner Count,Ad-hoc Check,Warehouse,P0282,None
REC0283,2023-09-13,418,418,True,None,0,0.0,490.0,12,4,Intermediate,Warehouse Team,Medical Device,Monitoring,Box,Shop Floor - Zone B,Morning,Tuesday,False,High,Current Model,False,Slow,Normal,Combined Method,Regular Stock Check,Shop Floor,P0283,None
REC0284,2023-02-06,770,770,True,None,0,0.0,156.0,11,15,Advanced,Pharmacy Staff,Miscellaneous,Supplements,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Tuesday,False,High,Current Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Warehouse,P0284,None
REC0285,2023-12-23,1111,1111,True,None,0,0.0,634.0217771981316,12,4,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Shop Floor - Zone B,Afternoon,Thursday,False,Medium,Current Model,True,Normal,Strong,Combined Method,Regular Stock Check,Shop Floor,P0285,Holiday Rush
REC0286,2023-12-15,44,44,True,None,0,0.0,17.01259837684161,19,6,Intermediate,Warehouse Team,Medical Device,Monitoring,Individual,Storage Room - Medical Devices,Afternoon,Tuesday,False,Medium,Current Model,False,Normal,Normal,Scanner Count,Ad-hoc Check,Storage,P0286,Holiday Rush
REC0287,2023-08-14,1176,1176,True,None,0,0.0,1118.0,14,5,Basic,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Storage Room - Drugs,Morning,Sunday,False,High,Old Model,True,Slow,Normal,Combined Method,Regular Stock Check,Storage,P0287,None
REC0288,2023-08-17,340,340,True,None,0,0.0,266.0,16,7,Intermediate,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Drugs,Afternoon,Saturday,False,Medium,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Storage,P0288,None
REC0289,2023-08-05,4625,4625,True,None,0,0.0,3212.0,17,2,Basic,Pharmacy Staff,Drug,OTC,Box,Storage Room - Drugs,Afternoon,Monday,False,High,Current Model,False,Normal,Strong,Scanner Count,Regular Stock Check,Storage,P0289,None
REC0290,2023-03-25,3668,3539,False,Undercount,129,3.5169029443838604,2544.0,13,3,Basic,Pharmacy Staff,Drug,Refrigerated,Box,Storage Room - Drugs,Morning,Monday,True,High,Old Model,False,Normal,Weak,Scanner Count,Ad-hoc Check,Storage,P0290,None
REC0291,2023-05-28,1372,1372,True,None,0,0.0,861.0,3,3,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Warehouse - Shop Building Ground Floor,Morning,Sunday,True,High,Current Model,True,Normal,Normal,Combined Method,Quarterly Stock-take,Warehouse,P0291,None
REC0292,2023-07-22,46,46,True,None,0,0.0,16.0,6,10,Advanced,Pharmacy Staff,Medical Device,Therapeutic,Individual,Shop Floor - Zone C,Morning,Saturday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0292,None
REC0293,2023-09-22,1836,1828,False,Undercount,8,0.4357298474945534,1329.0,4,10,Basic,Warehouse Team,Miscellaneous,Supplements,Box,Shop Floor - Zone A,Evening,Friday,False,High,Current Model,False,Normal,Normal,Combined Method,Ad-hoc Check,Shop Floor,P0293,None
REC0294,2023-07-18,714,677,False,Undercount,37,5.182072829131653,798.0,4,10,Basic,Warehouse Team,Drug,Controlled,Blister Pack,Shop Floor - Zone B,Afternoon,Monday,False,High,Current Model,False,Slow,Normal,Manual Count,Regular Stock Check,Shop Floor,P0294,None
REC0295,2023-05-08,9168,9168,True,None,0,0.0,4698.0,19,6,Intermediate,Warehouse Team,Drug,Refrigerated,Box,Shop Floor - Zone B,Afternoon,Friday,False,Medium,New Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0295,None
